,nLabor,nLib,nThird,Winner
1033,0,145,6,Coalition
1034,0,145,6,Coalition
1035,0,145,6,Coalition
1036,0,145,6,Coalition
1037,0,145,6,Coalition
1038,0,145,6,Coalition
1039,0,145,6,Coalition
1040,0,145,6,Coalition
1041,0,145,6,Coalition
1042,0,145,6,Coalition
1043,0,145,6,Coalition
1044,0,145,6,Coalition
1045,0,145,6,Coalition
1046,0,145,6,Coalition
1047,0,145,6,Coalition
1048,0,145,6,Coalition
1049,0,145,6,Coalition
1050,0,145,6,Coalition
1051,0,145,6,Coalition
1052,0,145,6,Coalition
1053,0,145,6,Coalition
1054,0,145,6,Coalition
1055,0,145,6,Coalition
1056,0,145,6,Coalition
1057,0,145,6,Coalition
1058,0,145,6,Coalition
1059,0,145,6,Coalition
1060,0,145,6,Coalition
1061,0,145,6,Coalition
1062,0,145,6,Coalition
